,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Leon,6,88.61367752,6.437452,8.5,0.25,,,30,3,1,1,,,,,,,,
Marathon,48,9.855418019,0.249951,0.25,0.25,,,,,1,,1,,,,,,,
Moca,63,3.95842282,0.0937,0.125,0,,0.5,,,,,,,,,,,,
Monterrey,1,100,8.624949,9,7.5,1,5,,,30,,30,,,,,,30,30
Morelia,71,0.0009274021057,-5.2e-05,0,0,,,,,,,,,,,,,,3
Motagua,18,29.916053,0.968697,1.125,0.5,0.5,,3,1,,1,,1,,,,,,
Olimpia,26,24.71449421,0.749946,0.5,1.5,,,1,,1,5,,1,,,3,,,
Pachuca,3,95.47427953,7.687445,7.75,7.5,,30,1,,,,,,30,,3,,,
Portmore United,65,2.678039559,0.062444,0,0.25,,,,,,1,,,,,,,,
Pumas,11,67.03307303,3.562443,4.5,0.75,3,,,15,,,,,3,,,,,5
Queretaro,42,12.00976892,0.312442,0,1.25,,,,,,,,,,5,,,,
Real Espana,55,7.589852247,0.187441,0.25,0,,,1,,,,,,,,,,,
Real Esteli,38,14.06412048,0.37494,0.5,0,0.5,0.5,,,1,,,,,,,,,
Real Hope,64,3.957978679,0.093689,0.125,0,0.5,,,,,,,,,,,,,
Robinhood,56,7.58974068,0.187438,0.25,0,,1,,,,,,,,,,,,
San Carlos,66,2.67774861,0.062437,0,0.25,,,,,,1,,,,,,,,
Santa Tecla,67,2.677707046,0.062436,0,0.25,,,,,,,,1,,,,,,
Santos de Guapiles,57,7.589629113,0.187435,0.25,0,,,,1,,,,,,,,,,
Santos Laguna,22,26.26390461,0.812434,0.25,2.5,,,,1,,,5,,,5,,,15,15
Saprissa,20,29.20912655,0.937433,0.75,1.5,0.5,0.5,,1,1,1,1,1,3,,3,,,
Tauro,39,14.06386353,0.374932,0.25,0.75,,,1,,,,,3,,,,,,
Tigres,4,92.51799696,7.124931,3.25,18.75,5,3,5,,,30,15,3,15,15,,,3,
Tijuana,58,7.589443166,0.18743,0,0.75,,,,,,,,3,,,,5,,
Toluca,60,6.411672359,0.156179,0.125,0.25,,0.5,,,,,1,,,,,15,,
Violette,31,19.70916848,0.562428,0.75,0,,,3,,,,,,,,,,,
Xelaju,72,0,-7.3e-05,0,0,,,,,,,,,,,,,3,
