,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2020,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Florida,,,,,,63,'20,'41,34,30,6,7,9,34,20,25,21,46,5
Florida Atlantic,,,,,,99,'113,'100,91,92,95,40,81,50,113,100,104,84,113
Florida International,,,,,,107,'112,'128,129,125,112,97,96,102,125,118,119,125,103
Florida State,,,,,,41,'83,'9,27,53,85,58,71,9,7,5,2,1,2
Fresno State,,,,,,66,'85,'60,58,33,91,80,16,81,122,107,92,48,32
Georgia,,,,,,6,'6,'2,1,1,5,5,2,4,42,18,3,7,6
Georgia Southern,,,,,,103,'76,'82,92,117,71,87,87,117,84,52,79,,
Georgia State,,,,,,133,'123,'89,82,71,88,107,125,111,109,92,126,120,
Georgia Tech,,,,,,35,'66,'65,102,96,75,111,74,39,48,43,33,37,50
Hawaii,,,,,,68,'107,'123,128,86,102,69,103,124,103,117,114,99,115
Houston,,,,,,40,'102,'95,53,31,59,82,64,43,39,53,56,59,83
Illinois,,,,,,24,'31,'75,21,64,89,61,97,96,94,68,68,79,93
Indiana,,,,,,1,'11,'92,94,100,26,23,70,33,57,74,65,66,80
Iowa,,,,,,12,'16,'47,23,27,10,20,23,35,37,42,49,24,62
Iowa State,,,,,,33,'28,'37,54,19,11,24,38,44,66,77,97,78,56
Jacksonville State,,,,,,92,'73,'71,,,,,,,,,,,
James Madison,,,,,,27,'41,'20,50,,,,,,,,,,
Kansas,,,,,,59,'50,'25,60,123,121,104,100,114,119,125,102,89,102
Kansas State,,,,,,42,'18,'15,9,21,70,46,78,29,45,69,25,14,11
Kennesaw State,,,,,,89,'132,,,,,,,,,,,,
Kent State,,,,,,130,'134,'133,105,93,94,105,124,126,108,105,110,98,66
Kentucky,,,,,,67,'45,'22,28,23,51,35,25,61,78,78,51,74,91
Liberty,,,,,,102,'71,'33,73,49,44,75,121,,,,,,
Louisiana,,,,,,105,'53,'64,67,47,31,32,95,118,99,95,64,95,64
Louisiana Monroe,,,,,,131,'122,'131,117,124,122,109,105,110,127,111,103,117,101
Louisiana State,,,,,,32,'15,'11,13,65,45,2,5,11,5,11,11,4,10
Louisiana Tech,,,,,,77,'110,'112,121,108,113,62,94,93,60,45,76,108,63
Louisville,,,,,,26,'21,'34,33,52,35,63,98,14,9,26,23,9,40
Marshall,,,,,,86,'59,'99,63,51,56,70,73,85,110,64,24,49,71
Maryland,,,,,,75,'86,'21,29,60,53,96,59,86,68,83,53,40,88
Massachusetts,,,,,,136,'129,'125,131,130,127,130,112,100,118,99,124,124,124
Memphis,,,,,,39,'32,'55,43,74,49,17,36,42,49,47,55,77,96
Miami,,,,,,9,'10,'28,74,32,20,33,27,18,12,36,27,25,43
Miami OH,,,,,,82,'69,'58,109,73,106,102,79,77,92,108,123,119,109
Michigan,,,,,,25,'26,'1,3,4,33,10,10,13,6,10,42,39,13
Michigan State,,,,,,83,'90,'88,68,28,65,42,30,23,51,20,7,20,33
Middle Tennessee,,,,,,127,'131,'101,88,90,115,110,91,89,74,90,99,94,85
Minnesota,,,,,,70,'27,'63,16,18,34,13,45,72,24,46,50,64,69
Mississippi State,,,,,,58,'88,'62,12,34,58,51,8,19,56,21,10,41,46
Missouri,,,,,,21,'19,'10,40,69,68,39,12,28,70,65,16,22,57
Missouri State,,,,,,108,,,,,,,,,,,,,
Navy,,,,,,47,'57,'113,89,102,97,31,101,73,52,29,61,69,90
Nebraska,,,,,,46,'47,'66,72,37,32,55,49,62,38,33,29,36,14
Nevada,,,,,,116,'117,'132,125,67,74,112,77,119,111,94,93,109,72
New Mexico,,,,,,73,'116,'124,130,120,119,119,99,108,89,98,113,101,105
New Mexico State,,,,,,123,'125,'73,106,128,128,123,123,99,123,122,127,121,123
North Carolina,,,,,,91,'49,'40,52,59,12,30,88,55,17,9,69,29,28
North Carolina State,,,,,,55,'56,'39,49,14,54,94,35,24,41,41,43,70,53
North Texas,,,,,,22,'89,'86,78,94,110,93,65,87,116,128,100,67,107
Northern Illinois,,,,,,128,'84,'93,123,97,117,115,89,75,77,82,72,56,34
Northwestern,,,,,,51,'101,'69,111,106,30,91,68,27,61,75,66,62,47
Notre Dame,,,,,,5,'8,'8,37,11,16,19,13,12,18,8,34,30,15
Ohio,,,,,,84,'63,'72,85,109,83,50,54,60,75,79,106,93,89
Ohio State,,,,,,2,'1,'4,4,2,2,1,6,2,10,1,4,5,9
Oklahoma,,,,,,14,'33,'17,20,13,4,8,4,7,4,7,17,21,4
Oklahoma State,,,,,,121,'81,'42,31,12,23,36,22,15,13,39,39,12,8
Old Dominion,,,,,,50,'95,'102,108,99,,125,109,120,69,112,109,,
Ole Miss,,,,,,7,'2,'12,18,17,36,53,33,26,25,3,14,32,26
Oregon,,,,,,4,'3,'3,11,38,17,15,41,37,55,19,5,3,7
Oregon State,,,,,,126,'97,'19,19,45,78,65,111,109,88,102,62,34,20
Penn State,,,,,,15,'5,'5,6,20,18,6,15,6,11,32,36,47,27
Pittsburgh,,,,,,36,'51,'91,39,9,41,49,61,47,23,34,26,45,52
Purdue,,,,,,90,'121,'90,56,35,42,64,44,48,105,96,90,106,70
Rice,,,,,,120,'109,'103,118,126,103,121,129,128,121,110,81,73,87
Rutgers,,,,,,72,'42,'56,97,88,101,117,108,92,117,101,75,86,65
Sam Houston State,,,,,,135,'98,'115,,,,,,,,,,,
San Diego State,,,,,,43,'119,'104,84,50,61,56,47,54,31,48,67,80,60
San Jose State,,,,,,118,'92,'77,90,85,66,99,115,125,112,89,105,81,42
South Alabama,,,,,,114,'61,'49,45,98,116,122,117,106,101,104,85,91,121
South Carolina,,,,,,49,'14,'51,24,66,84,47,20,41,85,67,20,19,21
South Florida,,,,,,30,'79,'85,120,110,108,103,83,32,40,63,107,105,75
Southern California,,,,,,16,'23,'31,17,82,13,22,34,17,8,17,22,10,12
Southern Methodist,,,,,,23,'12,'24,55,44,43,48,93,82,104,120,125,102,86
Southern Miss,,,,,,94,'133,'116,75,116,99,89,92,84,65,70,118,114,114
Stanford,,,,,,112,'103,'108,93,105,60,88,26,20,14,6,12,13,22
Syracuse,,,,,,115,'46,'80,64,79,111,77,40,56,79,86,78,68,51
Temple,,,,,,88,'127,'127,104,121,105,52,60,71,28,54,86,92,98
Tennessee,,,,,,19,'9,'14,5,10,50,29,48,67,15,12,30,57,23
Texas,,,,,,17,'7,'6,7,48,14,26,32,30,36,62,37,42,16
Texas A&M,,,,,,10,'13,'16,35,6,9,21,11,36,27,24,15,16,3
Texas Christian,,,,,,37,'25,'35,8,81,37,43,43,16,34,15,9,31,30
Texas State,,,,,,65,'48,'70,103,118,114,118,114,127,128,114,94,97,104
Texas Tech,,,,,,3,'54,'43,32,40,77,54,37,52,59,60,57,28,18
Toledo,,,,,,48,'80,'53,76,56,76,114,66,45,26,50,63,60,77
Troy,,,,,,87,'96,'26,41,95,72,85,62,65,63,93,117,100,76
Tulane,,,,,,45,'43,'59,26,89,52,41,90,94,115,109,115,85,118
Tulsa,,,,,,104,'128,'114,87,61,39,73,107,103,50,97,116,111,59
UAB,,,,,,125,'108,'117,69,43,40,67,75,116,,,83,113,97
UCLA,,,,,,98,'75,'27,22,41,46,79,76,51,44,16,19,18,24
UNLV,,,,,,57,'36,'61,101,115,123,120,106,113,114,116,122,90,111
Utah,,,,,,8,'40,'32,10,16,22,12,17,25,35,35,38,35,58
Utah State,,,,,,79,'106,'106,114,80,118,83,21,83,86,76,52,61,38
UTEP,,,,,,129,'130,'122,98,91,125,127,130,130,120,123,108,118,108
UTSA,,,,,,62,'64,'48,47,58,93,124,127,80,106,121,82,83,117
Vanderbilt,,,,,,11,'52,'110,79,122,120,106,39,70,71,84,84,54,41
Virginia,,,,,,31,'91,'105,95,55,55,44,42,69,83,71,60,82,67
Virginia Tech,,,,,,106,'30,'46,96,70,27,38,55,21,22,31,45,26,31
Wake Forest,,,,,,52,'93,'96,42,39,82,57,57,31,67,88,96,75,100
Washington,,,,,,13,'58,'13,15,83,19,16,14,10,3,40,44,15,49
Washington State,,,,,,61,'68,'50,44,57,64,28,31,40,54,61,77,50,79
West Virginia,,,,,,93,'65,'38,65,72,38,98,24,49,33,27,41,72,45
Western Kentucky,,,,,,69,'78,'74,61,24,86,59,113,88,19,37,80,76,81
Western Michigan,,,,,,78,'105,'121,119,76,62,90,104,78,29,56,73,116,94
Wisconsin,,,,,,85,'60,'29,38,7,15,11,19,3,16,22,13,11,25
Wyoming,,,,,,110,'115,'78,100,77,87,66,69,79,95,119,111,104,106
