,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Antwerp,,,,,,,,0.5,,,,,,,,,,,,
APOEL,,,,,,,,,,,,,,0.5,,,0.5,,,3
Astana,,,,,,,,,,,,,,,,0.5,,,,
Aston Villa,,,,,,UEL*,3,,,,,,,,,,,,,
Atalanta,,,,,,2,1,UEL*,,0.5,2,3,,,,,,,,
Athletic Bilbao,,,,,,0.5,[UEL],,,,,,,,,,0.5,,,
Austria Vienna,,,,,,,,,,,,,,,,,,0.5,,
Basel,,,,,,,,,,,,,,2,0.5,,2,0.5,,2
BATE Borisov,,,,,,,,,,,,,,,,0.5,0.5,,0.5,0.5
Benfica,,,,,,1,2,0.5,3,3,,0.5,0.5,0.5,2,3,0.5,0.5,0.5,3
Besiktas,,,,,,,,,,0.5,,,,2,0.5,,,,,
Bodo/Glimt,,,,,,2,[UEL],,,,,,,,,,,,,
Bologna,,,,,,,0.5,,,,,,,,,,,,,
Braga,,,,,,[UEL],,0.5,,,,,,,,,,,0.5,
Brest,,,,,,,1,,,,,,,,,,,,,
Celta Vigo,,,,,,,,,,,,,,,,,,,,
Celtic,,,,,,,1,0.5,0.5,,,,,2,0.5,,,0.5,2,
CFR Cluj,,,,,,,,,,,,,,,,,,,0.5,
Club Brugge,,,,,,1,2,,2,0.5,0.5,0.5,0.5,,0.5,,,,,
Copenhagen,,,,,,0.5,,2,0.5,,,,,,0.5,,,0.5,,
Crystal Palace,,,,,,UECL*,,,,,,,,,,,,,,
CSKA Moscow,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,2
Dinamo Zagreb,,,,,,,0.5,,0.5,,,0.5,,,0.5,0.5,,,0.5,0.5
Dnipro,,,,,,,,,,,,,,,,,,,,
Dynamo Kyiv,,,,,,,,,,0.5,0.5,,,,0.5,2,,,0.5,
Eintracht Frankfurt,,,,,,0.5,,,2,UEL*,,,,,,,,,,
Ferencvaros,,,,,,,,,,,0.5,,,,,,,,,
Feyenoord,,,,,,,2,0.5,,[UECL],,,,0.5,,,,,,
Fiorentina,,,,,,,,[UECL],[UECL],,,,,,,,,,,
Freiburg,,,,,,[UEL],,,,,,,,,,,,,,
Galatasaray,,,,,,2,,0.5,,,,0.5,0.5,,,0.5,0.5,2,3,
Genk,,,,,,,,,,,,0.5,,,,,,,,0.5
Gent,,,,,,,,,,,,,,,,2,,,,
Girona,,,,,,,0.5,,,,,,,,,,,,,
Gladbach,,,,,,,,,,,2,,,,0.5,0.5,,,,
Hoffenheim,,,,,,,,,,,,,0.5,,,,,,,
Istanbul Basaksehir,,,,,,,,,,,0.5,,,,,,,,,
Kairat,,,,,,0.5,,,,,,,,,,,,,,
Krasnodar,,,,,,,,,,,0.5,,,,,,,,,
Lazio,,,,,,,,2,,,2,,,,,,,,,
Legia Warsaw,,,,,,,,,,,,,,,3,,,,,
Leicester City,,,,,,,,,,,,,,,0.5,,,,,
Lens,,,,,,,,0.5,,,,,,,,,,,,
Leverkusen,,,,,,2,2,[UEL],0.5,,,0.5,,,2,0.5,2,2,,2
Lille,,,,,,,2,,,2,,0.5,,,,,,,0.5,0.5
Lokomotiv Moscow,,,,,,,,,,,0.5,0.5,0.5,,,,,,,
Ludogorets Razgrad,,,,,,,,,,,,,,,0.5,,0.5,,,
Lyon,,,,,,,,,,,,5,2,,0.5,0.5,,,,2
Maccabi Haifa,,,,,,,,,0.5,,,,,,,,,,,
Maccabi Tel Aviv,,,,,,,,,,,,,,,,0.5,,,,
Malaga,,,,,,,,,,,,,,,,,,,3,
Malmo FF,,,,,,,,,,0.5,,,,,,0.5,0.5,,,
Maribor,,,,,,,,,,,,,,0.5,,,0.5,,,
Marseille,,,,,,0.5,,[UEL],0.5,,0.5,,,,,,,0.5,,3
Midtjylland,,,,,,,,,,,0.5,,,,,,,,,
Monaco,,,,,,1,1,,,,,,0.5,0.5,5,,3,,,
Montpellier,,,,,,,,,,,,,,,,,,,0.5,
Napoli,,,,,,0.5,,2,3,,,2,0.5,0.5,2,,,0.5,,2
Newcastle United,,,,,,2,,0.5,,,,,,,,,,,,
Nordsjaelland,,,,,,,,,,,,,,,,,,,0.5,
Nottingham Forest,,,,,,[UEL],,,,,,,,,,,,,,
Olympiacos,,,,,,1,,UECL*,,,0.5,0.5,,0.5,,0.5,0.5,2,0.5,0.5
Otelul Galati,,,,,,,,,,,,,,,,,,,,0.5
Pafos,,,,,,0.5,,,,,,,,,,,,,,
Porto,,,,,,,,2,2,0.5,3,,3,2,2,0.5,3,0.5,2,0.5
PSV Eindhoven,,,,,,0.5,2,2,,,,,0.5,,0.5,2,,,,
Qarabag,,,,,,1,,,,,,,,0.5,,,,,,
Rangers,,,,,,,,,0.5,[UEL],,,,,,,,,,
Rayo Vallecano,,,,,,[UECL],,,,,,,,,,,,,,
RB Leipzig,,,,,,,0.5,2,2,0.5,2,5,,0.5,,,,,,
Real Betis,,,,,,,[UECL],,,,,,,,,,,,,
Real Sociedad,,,,,,,,2,,,,,,,,,,0.5,,
Red Bull Salzburg,,,,,,,0.5,0.5,0.5,2,0.5,0.5,,,,,,,,
Red Star Belgrade,,,,,,,0.5,0.5,,,,0.5,0.5,,,,,,,
Rennes,,,,,,,,,,,0.5,,,,,,,,,
Roma,,,,,,,,[UEL],[UEL],UECL*,[UEL],,2,5,,2,0.5,,,
Rostov,,,,,,,,,,,,,,,0.5,,,,,
Schalke,,,,,,,,,,,,,2,,,,2,2,2,
Sevilla,,,,,,,,0.5,UEL*,0.5,2,UEL*,,3,2,UEL*,UEL*,,,
Shakhtar Donetsk,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,,0.5,2,0.5,2,0.5
Sheriff Tiraspol,,,,,,,,,,0.5,,,,,,,,,,
Slavia Prague,,,,,,0.5,,,,,,0.5,,,,,,,,
Slovan Bratislava,,,,,,,0.5,,,,,,,,,,,,,
Sparta Prague,,,,,,,0.5,,,,,,,,,,,,,
Spartak Moscow,,,,,,,,,,,,,,0.5,,,,,0.5,
Sporting CP,,,,,,3,1,,0.5,2,,,,0.5,0.5,,0.5,,,
Steaua Bucuresti,,,,,,,,,,,,,,,,,,0.5,,
Sturm Graz,,,,,,,0.5,,,,,,,,,,,,,
Stuttgart,,,,,,,0.5,,,,,,,,,,,,,
Trabzonspor,,,,,,,,,,,,,,,,,,,,0.5
Union Berlin,,,,,,,,0.5,,,,,,,,,,,,
Union Saint-Gilloise,,,,,,0.5,,,,,,,,,,,,,,
Valencia,,,,,,,,,,,,2,0.5,,,0.5,,,2,0.5
Viktoria Plzen,,,,,,,,,0.5,,,,0.5,,,,,0.5,,0.5
Villarreal,,,,,,0.5,,,,5,UEL*,,,,,,,,,0.5
West Ham United,,,,,,,,,UECL*,[UEL],,,,,,,,,,
Wolfsburg,,,,,,,,,,0.5,,,,,,3,,,,
Young Boys,,,,,,,0.5,0.5,,0.5,,,0.5,,,,,,,
Zenit St. Petersburg,,,,,,,,,,0.5,0.5,0.5,,,,2,0.5,2,0.5,2
,,,,,,,,,,,,,,,,,,,,
Europa Winner,5,,,,,Aston Villa,Tottenham Hotspur,Atalanta,Sevilla,Eintracht Frankfurt,Villarreal,Sevilla,Chelsea,Atletico Madrid,Manchester United,Sevilla,Sevilla,,,
Europa Final,1,,,,,Freiburg,Manchester United,Leverkusen,Roma,Eintracht Frankfurt,Manchester United,Inter Milan,Arsenal,Marseille,Ajax,Liverpool,Dnipro,,,
Europa Semis,0.5,,,,,Nottingham Forest,Bodo/Glimt,Marseille,Juventus,West Ham United,Arsenal,Manchester United,Eintracht Frankfurt,Arsenal,Celta Vigo,Shakhtar Donetsk,Fiorentina,,,
Europa Semis,0.5,,,,,Braga,Athletic Bilbao,Roma,Leverkusen,RB Leipzig,Roma,Shakhtar Donetsk,Valencia,Red Bull Salzburg,Lyon,Villarreal,Napoli,,,
Conference Winner,3,,,,,Crystal Palace,Chelsea,Olympiacos,West Ham United,Roma,,,,,,,,,,
Conference Final,0.5,,,,,Rayo Vallecano,Real Betis,Fiorentina,Fiorentina,Feyenoord,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UCL Winners,,,,,,PARIS SG,PARIS SG,REAL MADRID,MAN CITY,REAL MADRID,CHELSEA,BAYERN MUNICH,LIVERPOOL,REAL MADRID,REAL MADRID,REAL MADRID,BARCELONA,REAL MADRID,BAYERN MUNICH,CHELSEA
UCL Losers,,,,,,ARS,INT,BVB,INT,LIV,CITY,PSG,THFC,LIV,JUVE,ATL,JUVE,ATL,BVB,BAY
Europa League,,,,,,ASTON VILLA,TOTTENHAM,ATALANTA,SEVILLA,EINTRACHT,VILLARREAL,SEVILLA,CHELSEA,ATLETI,UNITED,SEVILLA,SEVILLA,SEVILLA,CHELSEA,ATLETI
UEL Losers,,,,,,FRE,UTD,LEV,ROMA,RANG,UTD,INT,ARS,MAR,AJAX,LIV,DNI,BEN,BEN,BIL
Conference League,,,,,,CRYSTAL PALACE,CHELSEA,OLYMPIACOS,WEST HAM,ROMA,,,,,,,,,,
UECL Losers,,,,,,RAYO,BET,FIOR,FIOR,FEY,,,,,,,,,,
Spain,,,,,,BAR,BAR,MAD,BAR,MAD,ATL,MAD,BAR,BAR,MAD,BAR,BAR,ATL,BAR,MAD
Germany,,,,,,BAY,BAY,LEV,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BAY,BVB
Italy,,,,,,INT,NAP,INT,NAP,MIL,INT,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE,JUVE
France,,,,,,PSG,PSG,PSG,PSG,PSG,LIL,PSG,PSG,PSG,MON,PSG,PSG,PSG,PSG,MONT
Club World Cup,,,,,,,CHE,MAD,CITY,MAD,CHE,BAY,LIV,MAD,MAD,MAD,BAR,MAD,BAY,COR
