Raw NCAA,Formatted
Florida A&M,Florida A&M
FAU,Florida Atlantic
FAUFlorida Atlantic,Florida Atlantic
Fla. Atlantic,Florida Atlantic
Florida Atlantic,Florida Atlantic
FGCU,Florida Gulf Coast
Florida Gulf Coast,Florida Gulf Coast
FIU,Florida International
FIUFlorida International,Florida International
Florida St.,Florida State
Florida State,Florida State
FSUFlorida State,Florida State
Fordham,Fordham
FRESFresno State,Fresno State
Fresno St.,Fresno State
Furman,Furman
Gardner Webb,Gardner Webb
Gardner-Webb,Gardner Webb
George Mason,George Mason
George Washington,George Washington
Georgetown,Georgetown
GTWNGeorgetown,Georgetown
Georgia,Georgia
UGAGeorgia,Georgia
Ga. Southern,Georgia Southern
GASOGeorgia Southern,Georgia Southern
Georgia Southern,Georgia Southern
GASTGeorgia State,Georgia State
Georgia St.,Georgia State
Ga. Tech,Georgia Tech
Georgia Tech,Georgia Tech
GTGeorgia Tech,Georgia Tech
Gonzaga,Gonzaga
GONZGonzaga,Gonzaga
Grambling,Grambling State
Grambling St.,Grambling State
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
HAWHawai'i,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
HOUHouston,Houston
Houston,Houston
Houston Baptist,Houston Christian
Houston Christian,Houston Christian
Howard,Howard
Idaho,Idaho
Idaho St.,Idaho State
ILLIllinois,Illinois
Illinois,Illinois
Illinois Chicago,Illinois Chicago
UIC,Illinois Chicago
Illinois St.,Illinois State
Incarnate Word,Incarnate Word
UIW,Incarnate Word
Indiana,Indiana
IUIndiana,Indiana
Indiana St.,Indiana State
Indiana State,Indiana State
INSTIndiana State,Indiana State
Iona,Iona
Iowa,Iowa
IOWAIowa,Iowa
Iowa St,Iowa State
Iowa St.,Iowa State
ISUIowa State,Iowa State
IU Indy,IU Indy
IUPUI,IU Indy
Jackson St.,Jackson State
Jacksonville,Jacksonville
J'ville St.,Jacksonville State
Jacksonville St.,Jacksonville State
JSU,Jacksonville State
JVSTJacksonville State,Jacksonville State
James Madison,James Madison
JMU,James Madison
JMUJames Madison,James Madison
Kansas,Kansas
KUKansas,Kansas
Kansas St.,Kansas State
Kansas State,Kansas State
KSUKansas State,Kansas State
Kennesaw St.,Kennesaw State
KSU,Kennesaw State
Kent St.,Kent State
KENTKent State,Kent State
Kentucky,Kentucky
UKKentucky,Kentucky
La Salle,La Salle
Lafayette,Lafayette
Lake Superior,Lake Superior State
Lake Superior St.,Lake Superior State
Lamar,Lamar
Lamar University,Lamar
Le Moyne,Le Moyne
Lehigh,Lehigh
Liberty,Liberty
LIBLiberty,Liberty
Lindenwood,Lindenwood
Lipscomb,Lipscomb
Arkansas Little Rock,Little Rock
Little Rock,Little Rock
Long Beach St.,Long Beach State
LIU,Long Island
LIU Brooklyn,Long Island
Long Island,Long Island
Longwood,Longwood
Louisiana,Louisiana
Louisiana Lafayette,Louisiana
ULLouisiana,Louisiana
Louisiana Monroe,Louisiana Monroe
UL-Monroe,Louisiana Monroe
ULM,Louisiana Monroe
ULMUL Monroe,Louisiana Monroe
LSU,Louisiana State
LSULSU,Louisiana State
La. Tech,Louisiana Tech
Louisiana Tech,Louisiana Tech
LTLouisiana Tech,Louisiana Tech
Louisville,Louisville
LOULouisville,Louisville
Loyola Chicago,Loyola Chicago
LUCLoyola Chicago,Loyola Chicago
LMU (CA),Loyola Marymount
Loyola Marymount,Loyola Marymount
Loyola Maryland,Loyola MD
Loyola MD,Loyola MD
Maine,Maine
Manhattan,Manhattan
Marist,Marist
MARQMarquette,Marquette
Marquette,Marquette
Marshall,Marshall
MRSHMarshall,Marshall
Maryland,Maryland
MDMaryland,Maryland
Maryland Eastern Shore,Maryland Eastern Shore
UMES,Maryland Eastern Shore
Massachusetts,Massachusetts
MassachusettsMass.,Massachusetts
UMass,Massachusetts
McNeese,McNeese
McNeese St,McNeese
McNeese St.,McNeese
McNeese State,McNeese
MEMMemphis,Memphis
Memphis,Memphis
Mercer,Mercer
Mercyhurst,Mercyhurst
Merrimack,Merrimack
Miami,Miami
Miami (FL),Miami
Miami (Fla.),Miami
Miami FL,Miami
MIAMiami,Miami
M-OHMiami (OH),Miami OH
Miami (OH),Miami OH
Miami OH,Miami OH
Miami-HKY,Miami OH
Miami-OH,Miami OH
Michigan,Michigan
MICHMichigan,Michigan
Michigan St,Michigan State
Michigan St.,Michigan State
Michigan State,Michigan State
MSUMichigan State,Michigan State
Michigan Tech,Michigan Tech
Middle Tenn.,Middle Tennessee
Middle Tennessee,Middle Tennessee
MTSU,Middle Tennessee
MTSUMiddle Tennessee,Middle Tennessee
Milwaukee,Milwaukee
Minnesota,Minnesota
MINNMinnesota,Minnesota
Minn. Duluth,Minnesota Duluth
Minnesota-Duluth,Minnesota Duluth
Minnesota-DuluthMN-Duluth,Minnesota Duluth
Minnesota St.,Minnesota State
Minnesota State,Minnesota State
Miss. St.,Mississippi State
Mississippi St,Mississippi State
Mississippi St.,Mississippi State
MIZMissouri,Mississippi State
MSSTMississippi State,Mississippi State
Mississippi Val.,Mississippi Valley State
Mississippi Valley St.,Mississippi Valley State
Missouri,Missouri
MIZMissouri,Missouri
MSSTMississippi State,Missouri
Missouri St.,Missouri State
Monmouth,Monmouth
Montana,Montana
Montana St.,Montana State
Morehead St.,Morehead State
Morgan St.,Morgan State
Mount St. Mary's,Mount State Mary's
Murray St.,Murray State
Navy,Navy
NAVYNavy,Navy
NEBNebraska,Nebraska
Nebraska,Nebraska
Nevada,Nevada
NEVNevada,Nevada
New Hampshire,New Hampshire
New Haven,New Haven
New Mexico,New Mexico
UNMNew Mexico,New Mexico
New Mex. St.,New Mexico State
New Mexico St.,New Mexico State
NMSU,New Mexico State
NMSUNew Mexico State,New Mexico State
New Orleans,New Orleans
Niagara,Niagara
Nicholls,Nicholls
Nicholls St.,Nicholls
Nicholls State,Nicholls
NJIT,NJIT
Norfolk St.,Norfolk State
North Ala.,North Alabama
North Alabama,North Alabama
N. Carolina,North Carolina
North Carolina,North Carolina
UNCNorth Carolina,North Carolina
N.C. A&T,North Carolina A&T
North Carolina A&T,North Carolina A&T
N.C. Central,North Carolina Central
North Carolina Central,North Carolina Central
N.C. State,North Carolina State
NC St.,North Carolina State
NC State,North Carolina State
NCSTNC State,North Carolina State
NCSUNC State,North Carolina State
North Carolina St.,North Carolina State
North Dakota,North Dakota
North Dakota St.,North Dakota State
North Florida,North Florida
N. Texas,North Texas
North Texas,North Texas
UNTNorth Texas,North Texas
Northeastern,Northeastern
NortheasternN. Eastern,Northeastern
Northern Ariz.,Northern Arizona
Northern Arizona,Northern Arizona
Northern Colo.,Northern Colorado
Northern Colorado,Northern Colorado
N. Illinois,Northern Illinois
NIU,Northern Illinois
NIUNorthern Illinois,Northern Illinois
Northern Illinois,Northern Illinois
Northern Iowa,Northern Iowa
UNI,Northern Iowa
Northern Kentucky,Northern Kentucky
Northern Ky.,Northern Kentucky
Northern Mich.,Northern Michigan
Northern Michigan,Northern Michigan
Northwestern,Northwestern
NUNorthwestern,Northwestern
Northwestern St.,Northwestern State
NDNotre Dame,Notre Dame
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
OHIOOhio,Ohio
Ohio St.,Ohio State
Ohio State,Ohio State
OSUOhio State,Ohio State
Oklahoma,Oklahoma
OUOklahoma,Oklahoma
Oklahoma St.,Oklahoma State
Oklahoma State,Oklahoma State
OKSTOklahoma State,Oklahoma State
ODU,Old Dominion
ODUOld Dominion,Old Dominion
Old Dominion,Old Dominion
Mississippi,Ole Miss
MISSOle Miss,Ole Miss
Ole Miss,Ole Miss
Nebraska Omaha,Omaha
Nebraska-OmahaNebr-Omaha,Omaha
Omaha,Omaha
Oral Roberts,Oral Roberts
Oregon,Oregon
OREOregon,Oregon
Oregon St.,Oregon State
Oregon State,Oregon State
ORSTOregon State,Oregon State
Pacific,Pacific
Penn St.,Penn State
Penn State,Penn State
PSUPenn State,Penn State
Penn,Pennsylvania
Pepperdine,Pepperdine
PITTPittsburgh,Pittsburgh
Pittsburgh,Pittsburgh
Portland,Portland
Portland St.,Portland State
Prairie View,Prairie View A&M
Prairie View A&M,Prairie View A&M
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
PROVProvidence,Providence
Purdue,Purdue
PURPurdue,Purdue
Fort Wayne,Purdue Fort Wayne
IPFW,Purdue Fort Wayne
Purdue Fort Wayne,Purdue Fort Wayne
Queens,Queens
Queens (NC),Queens
Quinnipiac,Quinnipiac
Radford,Radford
Rensselaer,Rensselaer
Rhode Island,Rhode Island
Rice,Rice
RICERice,Rice
Richmond,Richmond
RICHRichmond,Richmond
Rider,Rider
RIT,RIT
Robert Morris,Robert Morris
Rutgers,Rutgers
RUTGRutgers,Rutgers
Sacramento St.,Sacramento State
Sacred Heart,Sacred Heart
Saint Joseph's,Saint Joseph's
Saint Louis,Saint Louis
Saint Mary's,Saint Mary's
Saint Mary's (CA),Saint Mary's
SMCSaint Mary's,Saint Mary's
St Mary’s CA,Saint Mary's
Saint Peter's,Saint Peter's
Sam Houston,Sam Houston State
Sam Houston St.,Sam Houston State
SHSU,Sam Houston State
SHSUSam Houston,Sam Houston State
Samford,Samford
San Diego,San Diego
San Diego St,San Diego State
San Diego St.,San Diego State
SDSU,San Diego State
SDSUSan Diego State,San Diego State
San Francisco,San Francisco
San Jose St.,San Jose State
SJSU,San Jose State
SJSUSan José State,San Jose State
Santa Clara,Santa Clara
Savannah St.,Savannah State
Seattle,Seattle
Seattle U,Seattle
HALLSeton Hall,Seton Hall
Seton Hall,Seton Hall
Siena,Siena
SIU Edwardsville,SIU Edwardsville
SIUE,SIU Edwardsville
S. Alabama,South Alabama
South Alabama,South Alabama
USASouth Alabama,South Alabama
S. Carolina,South Carolina
SCSouth Carolina,South Carolina
South Carolina,South Carolina
South Carolina St.,South Carolina State
South Dakota,South Dakota
South Dakota St.,South Dakota State
South Fla.,South Florida
South Florida,South Florida
USF,South Florida
USFSouth Florida,South Florida
Southeast Missouri,Southeast Missouri
Southeast Missouri St.,Southeast Missouri
Southeast Missouri State,Southeast Missouri
Southeast Mo. St.,Southeast Missouri
Southeastern La.,Southeastern Louisiana
Southeastern Louisiana,Southeastern Louisiana
Southern,Southern
Southern U.,Southern
Southern California,Southern California
USC,Southern California
USCUSC,Southern California
Southern Ill.,Southern Illinois
Southern Illinois,Southern Illinois
Southern Ind.,Southern Indiana
Southern Indiana,Southern Indiana
SMU,Southern Methodist
SMUSMU,Southern Methodist
So. Miss,Southern Miss
Southern Miss,Southern Miss
Southern Miss.,Southern Miss
USMSouthern Miss,Southern Miss
Southern Utah,Southern Utah
St. Bonaventure,St. Bonaventure
St. Cloud St.,St. Cloud State
St. Cloud State,St. Cloud State
St. Francis Brooklyn,St. Francis (NY)
St. Francis NY,St. Francis (NY)
Saint Francis,St. Francis (PA)
Saint Francis (PA),St. Francis (PA)
St. Francis PA,St. Francis (PA)
SJUSt. John's,St. John's
St John’s,St. John's
St. John's,St. John's
St. John's (NY),St. John's
St. Lawrence,St. Lawrence
St. Thomas,St. Thomas
St. Thomas (MN),St. Thomas
Stanford,Stanford
STANStanford,Stanford
SFA,Stephen F. Austin
Stephen F. Austin,Stephen F. Austin
Stetson,Stetson
Stonehill,Stonehill
Stony Brook,Stony Brook
Syracuse,Syracuse
SYRSyracuse,Syracuse
Tarleton St.,Tarleton State
Temple,Temple
TEMTemple,Temple
Tennessee,Tennessee
TENNTennessee,Tennessee
Tennessee Martin,Tennessee Martin
UT Martin,Tennessee Martin
Tennessee St.,Tennessee State
Tennessee Tech,Tennessee Tech
Texas,Texas
TEXTexas,Texas
TA&Mtexas A&M,Texas A&M
Texas A&M,Texas A&M
A&M-Corpus Christi,Texas A&M Corpus Christi
Texas A&M Corpus Chris,Texas A&M Corpus Christi
TCU,Texas Christian
TCUTCU,Texas Christian
Texas Southern,Texas Southern
Texas St.,Texas State
TXSTTexas State,Texas State
Texas Tech,Texas Tech
TTUTexas Tech,Texas Tech
The Citadel,The Citadel
Toledo,Toledo
TOLToledo,Toledo
Towson,Towson
Troy,Troy
TROYTroy,Troy
Tulane,Tulane
TULNTulane,Tulane
TLSATulsa,Tulsa
Tulsa,Tulsa
UAB,UAB
UABUAB,UAB
UC Davis,UC Davis
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC San Diego,UC San Diego
UC Santa Barbara,UC Santa Barbara
UCLA,UCLA
UCLAUCLA,UCLA
Mass.-Lowell,UMass Lowell
Mass.-LowellMA-Lowell,UMass Lowell
UMass Lowell,UMass Lowell
UMBC,UMBC
Kansas City,UMKC
UMKC,UMKC
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC Wilmington
UNCW,UNC Wilmington
Union,Union
Union (NY),Union
UNLV,UNLV
UNLVUNLV,UNLV
USC Upstate,USC Upstate
UT Arlington,UT Arlington
Texas Pan American,UT Rio Grande Valley
UT Rio Grande Valley,UT Rio Grande Valley
UTRGV,UT Rio Grande Valley
Utah,Utah
UTAHUtah,Utah
USUUtah State,Utah State
Utah St,Utah State
Utah St.,Utah State
Dixie St.,Utah Tech
Utah Tech,Utah Tech
Utah Valley,Utah Valley
UTEP,UTEP
UTEPUTEP,UTEP
UTSA,UTSA
UTSAUTSA,UTSA
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VANVanderbilt,Vanderbilt
VCU,VCU
VCUVCU,VCU
Vermont,Vermont
Villanova,Villanova
VILLVillanova,Villanova
UVAVirginia,Virginia
Virginia,Virginia
Va. Tech,Virginia Tech
Virginia Tech,Virginia Tech
VTVirginia Tech,Virginia Tech
VMI,VMI
Wagner,Wagner
Wake Forest,Wake Forest
WAKEWake Forest,Wake Forest
Washington,Washington
WASHWashington,Washington
Wash. St.,Washington State
Washington St.,Washington State
WSUWashington State,Washington State
Weber St.,Weber State
West Georgia,West Georgia
W. Virginia,West Virginia
West Virginia,West Virginia
WVU,West Virginia
WVUWest Virginia,West Virginia
Western Caro.,Western Carolina
Western Carolina,Western Carolina
Western Ill.,Western Illinois
Western Illinois,Western Illinois
Western Kentucky,Western Kentucky
Western Ky.,Western Kentucky
WKU,Western Kentucky
WKUWestern Kentucky,Western Kentucky
Western Mich.,Western Michigan
Western Michigan,Western Michigan
WMU,Western Michigan
WMUWestern Michigan,Western Michigan
Wichita St.,Wichita State
WICHWichita State,Wichita State
William & Mary,William & Mary
Winthrop,Winthrop
Wisconsin,Wisconsin
WISCWisconsin,Wisconsin
WISWisconsin,Wisconsin
Wofford,Wofford
Wright St.,Wright State
Wyoming,Wyoming
WYOWyoming,Wyoming
Xavier,Xavier
XAVXavier,Xavier
Yale,Yale
Youngstown St.,Youngstown State
